Age group,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80
0-5,2.598237,1.101286,0.499396,0.315998,0.411961,0.715457,1.057365,0.988814,0.497488,0.322391,0.336978,0.26598,0.173599,0.135957,0.073886,0.038853
5-10,0.989686,5.386372,1.224101,0.347044,0.193902,0.509275,0.892744,1.068942,0.846197,0.347779,0.241652,0.197511,0.170506,0.12128,0.051215,0.039004
10-15,0.304842,1.888934,8.284524,0.973481,0.347356,0.301111,0.537831,0.869836,1.047914,0.564866,0.319458,0.16629,0.104552,0.098895,0.063186,0.052481
15-20,0.173684,0.432369,3.06756,11.10614,1.599837,0.783971,0.636821,0.892186,1.12534,1.009137,0.533794,0.23687,0.09507,0.067864,0.033226,0.021371
20-25,0.262619,0.21439,0.329929,2.645996,4.257321,1.742612,1.146007,1.040654,0.915094,1.079188,0.738022,0.412893,0.121239,0.052891,0.04983,0.040059
25-30,0.579676,0.34356,0.209946,0.882349,2.024331,3.414656,1.729206,1.333241,1.128603,0.952613,0.905713,0.498146,0.162274,0.055466,0.02694,0.018639
30-35,0.685994,0.925715,0.70581,0.511232,0.993349,1.651464,2.724437,1.697023,1.31631,1.026176,0.798953,0.542883,0.215146,0.088143,0.040122,0.037413
35-40,0.673234,1.087263,0.907901,0.762107,0.712048,1.280754,1.57267,2.780799,1.83112,1.187005,0.862649,0.468816,0.253787,0.147221,0.074796,0.029849
40-45,0.344231,0.743115,1.012538,1.172505,0.867901,1.128282,1.445997,1.662298,2.523069,1.465606,1.041925,0.393184,0.213727,0.11748,0.074063,0.032296
45-50,0.369636,0.561619,0.752136,1.656516,0.894872,0.95449,1.148589,1.325174,1.421437,2.031986,1.079285,0.497942,0.183696,0.092167,0.074005,0.066027
50-55,0.307299,0.676821,1.043991,1.429576,1.02141,1.296546,1.161537,1.154061,1.522421,1.697469,1.930457,0.891297,0.310827,0.127652,0.079973,0.067437
55-60,0.536572,0.736502,0.751744,0.996978,0.775486,1.224096,1.225258,0.977184,1.088083,0.956104,1.215903,1.598582,0.546926,0.215659,0.095427,0.064091
60-65,0.447587,0.435037,0.339826,0.509585,0.424671,0.623602,0.717327,0.777598,0.634482,0.549384,0.551756,0.716844,1.069015,0.37754,0.188201,0.075498
65-70,0.274332,0.432112,0.360245,0.237979,0.277204,0.353273,0.498051,0.526944,0.541686,0.324366,0.354407,0.439389,0.481989,0.900066,0.231848,0.091894
70-75,0.107388,0.324594,0.320266,0.345067,0.15107,0.233391,0.230088,0.393683,0.548842,0.407598,0.325744,0.275529,0.480619,0.471458,0.683924,0.216669
75-80,0.210146,0.282074,0.419783,0.336161,0.138282,0.15386,0.23403,0.294429,0.344528,0.430889,0.383853,0.221516,0.166169,0.238682,0.250445,0.396258
